auroc,brier,ece,recall,precision,n_clients,n_clients_target,dropout_fraction,training_time_seconds,throughput_samples_per_sec,seed
0.8849661539995134,0.06172033193266376,0.008832765902335955,0.4172794117647059,0.7643097643097643,7,7,0.0,1.8357465267181396,24889.601769632216,42
0.8849035348859212,0.0616654220133434,0.008909053971716199,0.4181985294117647,0.7724957555178268,14,14,0.0,2.290337085723877,19949.46520527525,42
0.8847056458153114,0.06173328853451898,0.008868884750204501,0.4172794117647059,0.7734241908006815,21,21,0.0,2.554985761642456,17883.074217457804,42
0.8847230693460749,0.06181993686387734,0.00868150089004367,0.41268382352941174,0.7688356164383562,28,28,0.0,3.0285162925720215,15086.925605143799,42
0.8790274755352507,0.06266865236140377,0.018262655709686014,0.44025735294117646,0.744945567651633,6,7,0.1,1.586763620376587,28795.089207525532,42
0.8767770945407115,0.06277209355089547,0.01977066981769774,0.4420955882352941,0.75748031496063,5,7,0.2,1.4336254596710205,31870.94627245591,42
0.8740183688365051,0.06348501921712563,0.021620635465013006,0.4485294117647059,0.7427701674277016,4,7,0.3,1.2293412685394287,37167.05944012206,42
